name,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
Papa's Red Diner,Lebanese,expensive,Bayside,15:00 - 23:30,2.9,FALSE
 Gourmet Bear Garden,Sushi,expensive,Bay Ridge,08:00 - 18:00,3.9,TRUE
 Cozy Whale Cafe,Japanese,cheap,Manhattan Beach,08:00 - 18:00,3.7,FALSE
 Cozy Purple Restaurant,Hungarian,medium,Canarsie,15:00 - 23:30,4.3,FALSE
 Golden White Inn,Swedish,expensive,Coney Island,08:00 - 18:00,4.7,FALSE
 Mama's Fox Tavern,Vietnamese,cheap,East New York,00:00 - 23:59,4.1,TRUE
 Silver Lion Garden,Russian,cheap,Lower East Side,00:00 - 23:59,4.5,TRUE
 Papa's Dolphin Place,Argentinian,medium,Kensington,15:00 - 23:30,3.5,TRUE
 Electric Blue Cantina,Belgian,medium,Brownsville,08:00 - 18:00,3.1,TRUE
 Gourmet Eagle Kitchen,Swedish,expensive,East Harlem,08:00 - 18:00,2.6,FALSE
 Happy Tiger Pub,Belgian,medium,Financial District,15:00 - 23:30,4.5,FALSE
 Royal Shark Steakhouse,Irish,medium,Borough Park,08:00 - 18:00,4.5,TRUE
 Mama's Whale Steakhouse,Ethiopian,expensive,Lower East Side,15:00 - 23:30,4.6,FALSE
 Happy Dolphin Tavern,Belgian,cheap,Brighton Beach,15:00 - 23:30,4,TRUE
 Silver Black Restaurant,Korean BBQ,cheap,Lower East Side,00:00 - 23:59,3.3,FALSE
 Urban Blue Brasserie,Thai,expensive,Kensington,00:00 - 23:59,3.1,FALSE
 Mama's White Lounge,Belgian,medium,Crown Heights,00:00 - 23:59,4.6,FALSE
 Emerald Lion Place,Indonesian,cheap,Remsen Village,11:30 - 21:30,1.8,TRUE
 Cozy Green Tavern,Irish,medium,Greenwich Village,08:00 - 18:00,2,FALSE
 Star Eagle Lounge,Mediterranean,cheap,Belle Harbor,00:00 - 23:59,2,FALSE
 Mystic Tiger Pub,Dutch,medium,Ozone Park,15:00 - 23:30,4,FALSE
 Gourmet Orange Bistro,Ethiopian,medium,Sheepshead Bay,08:00 - 18:00,1.7,TRUE
 Papa's Eagle Bistro,Sushi,cheap,Park Slope,00:00 - 23:59,3.9,FALSE
 Emerald Orange Lounge,Filipino,cheap,Manhattan Beach,11:30 - 21:30,5,FALSE
 Silver Purple Restaurant,Greek,medium,Nolita,15:00 - 23:30,2.9,TRUE
 Papa's Tiger Place,Italian,expensive,Long Island City,00:00 - 23:59,1.5,FALSE
 Star Eagle Restaurant,Chinese,expensive,Sea Gate,08:00 - 18:00,2.5,FALSE
 Happy Tiger Bar,Mexican,cheap,Morningside Heights,11:30 - 21:30,4,TRUE
 Cozy Green Lounge,Egyptian,expensive,Coney Island,11:30 - 21:30,1.7,FALSE
 Urban Shark Pub,Swiss,expensive,Ditmas Park,11:30 - 21:30,3.4,TRUE
 Fiery Wolf Steakhouse,Peruvian,cheap,Upper East Side,15:00 - 23:30,2.9,TRUE
 Mama's Red Steakhouse,Norwegian,cheap,Sheepshead Bay,15:00 - 23:30,3.7,TRUE
 Gourmet Purple Bar,Irish,expensive,Long Island City,00:00 - 23:59,2.9,FALSE
 Moonlight Dolphin Pub,South African,expensive,East Harlem,00:00 - 23:59,2.1,TRUE
 Icy Bear Pizzeria,Jamaican,expensive,Coney Island,08:00 - 18:00,3.4,TRUE
 Urban Fox Cantina,Mediterranean,expensive,Bed-Stuy,11:30 - 21:30,3.9,TRUE
 Chill White Pizzeria,Finnish,medium,Howard Beach,11:30 - 21:30,2.8,TRUE
 Moonlight Purple Diner,Swedish,cheap,Murray Hill,00:00 - 23:59,2,FALSE
 Sunny Whale House,Mexican,medium,Astoria,15:00 - 23:30,4.3,FALSE
 Electric Hawk Place,Hawaiian,medium,Astoria Heights,15:00 - 23:30,4.3,TRUE
 Moonlight Red Garden,Danish,medium,Mill Basin,15:00 - 23:30,2.1,TRUE
 Moonlight Blue Tavern,Mediterranean,cheap,Bayside,00:00 - 23:59,4,FALSE
 Modern Purple Steakhouse,Scottish,cheap,Astoria,00:00 - 23:59,3.1,FALSE
 Classic Tiger Brasserie,Mediterranean,medium,Inwood,11:30 - 21:30,2.9,TRUE
 Star Red Grill,Cuban,expensive,Nolita,00:00 - 23:59,1.6,FALSE
 Gourmet Fox Steakhouse,Danish,expensive,Inwood,11:30 - 21:30,5,FALSE
 Mystic Hawk Diner,Tibetan,expensive,East Flatbush,00:00 - 23:59,3.1,FALSE
 Happy Purple Restaurant,Malaysian,medium,Financial District,15:00 - 23:30,1.3,FALSE
 Silver Yellow House,Mexican,expensive,Bergen Beach,15:00 - 23:30,4.7,FALSE
 Sunny Purple Diner,Austrian,cheap,Sunnyside,08:00 - 18:00,1.4,TRUE
 Electric Wolf Grill,South African,cheap,Gramercy Park,08:00 - 18:00,1.5,FALSE
 Modern Hawk Place,Czech,medium,Crown Heights,08:00 - 18:00,3.9,TRUE
 Icy Yellow Garden,Mexican,expensive,Tribeca,08:00 - 18:00,3,FALSE
 Fiery Shark Trattoria,Egyptian,expensive,Brighton Beach,11:30 - 21:30,2.7,FALSE
 Cozy Yellow House,Spanish,cheap,Rockaway Beach,00:00 - 23:59,4.1,FALSE
 Moonlight Yellow Pub,Mediterranean,cheap,Bayside,15:00 - 23:30,1.3,FALSE
 Emerald Eagle House,American,medium,Ditmas Park,08:00 - 18:00,5,FALSE
 Star Dolphin Pizzeria,Peruvian,cheap,Coney Island,11:30 - 21:30,2.7,TRUE
 Mystic Eagle Grill,Canadian,expensive,Inwood,08:00 - 18:00,4.8,TRUE
 Sapphire Blue Garden,Portuguese,cheap,Bay Ridge,15:00 - 23:30,3.4,TRUE
 Mama's Red Garden,Indonesian,cheap,Morningside Heights,00:00 - 23:59,3.3,TRUE
 Vintage Hawk Garden,Japanese,cheap,Nolita,00:00 - 23:59,4.3,FALSE
 Chill Dolphin Pizzeria,Korean,cheap,Crown Heights,15:00 - 23:30,2.2,FALSE
 Golden Red Pizzeria,Indian,medium,DUMBO,15:00 - 23:30,3.6,TRUE
 Fiery Red House,Vietnamese,medium,Wingate,08:00 - 18:00,3.8,TRUE
 Sunny White Bar,Swiss,medium,Howard Beach,08:00 - 18:00,3.3,TRUE
 Sapphire Shark Brasserie,Chinese,medium,Sheepshead Bay,15:00 - 23:30,2.4,FALSE
 Mystic Orange Lounge,Greek,medium,Morningside Heights,11:30 - 21:30,2.6,TRUE
 Cozy Eagle Place,Indian,expensive,Morningside Heights,08:00 - 18:00,2.5,TRUE
 Mama's Dolphin Inn,Danish,expensive,Canarsie,11:30 - 21:30,1.2,TRUE
 Mama's Green Pizzeria,Moroccan,medium,Wingate,15:00 - 23:30,2,TRUE
 Moonlight Eagle Lounge,Brazilian,expensive,Harlem,11:30 - 21:30,4,FALSE
 Emerald Blue Pub,Vietnamese,cheap,Upper East Side,08:00 - 18:00,2.6,FALSE
 Electric Eagle Inn,Moroccan,medium,Morningside Heights,15:00 - 23:30,1.3,FALSE
 Cozy Blue Eatery,Indian,medium,Lower East Side,00:00 - 23:59,4.3,TRUE
 Star Wolf Garden,Cuban,medium,Inwood,08:00 - 18:00,3.2,FALSE
 Mystic Black Pub,Hawaiian,cheap,Battery Park City,00:00 - 23:59,3.1,FALSE
 Sunny Red Cafe,Argentinian,cheap,Ridgewood,08:00 - 18:00,4.7,FALSE
 Star Red Cafe,Finnish,medium,Brighton Beach,15:00 - 23:30,3.7,TRUE
 Emerald Purple Cantina,Chinese,expensive,East Harlem,00:00 - 23:59,3.9,TRUE
 Ruby Purple Garden,Cuban,medium,Brighton Beach,00:00 - 23:59,2.8,FALSE
 Sunny Eagle Pizzeria,Moroccan,cheap,Gravesend,00:00 - 23:59,1.1,TRUE
 Ruby Tiger Place,Austrian,cheap,Sea Gate,00:00 - 23:59,3.3,TRUE
 Modern Bear Steakhouse,Irish,medium,Chinatown,08:00 - 18:00,3.1,FALSE
 Mystic Whale Inn,Japanese,expensive,Bushwick,15:00 - 23:30,3,TRUE
 Modern Dolphin Grill,Brazilian,cheap,Rego Park,00:00 - 23:59,1.1,TRUE
 Mama's Fox Place,Scottish,expensive,Sheepshead Bay,15:00 - 23:30,2.3,FALSE
 Classic Bear Diner,Finnish,cheap,Forest Hills,00:00 - 23:59,3.9,FALSE
 Cozy Whale Pub,Egyptian,cheap,Elmhurst,11:30 - 21:30,4.9,TRUE
 Mama's Purple Bar,Vietnamese,expensive,Flatbush,00:00 - 23:59,3.1,TRUE
 Star Black Pub,Austrian,expensive,Breezy Point,15:00 - 23:30,1.7,FALSE
 Silver Shark Trattoria,Dutch,medium,Ozone Park,15:00 - 23:30,3,TRUE
 Magic Bear Inn,Swedish,cheap,Ridgewood,00:00 - 23:59,3,FALSE
 Moonlight White Diner,Australian,medium,Greenpoint,08:00 - 18:00,3.8,FALSE
 Sunny Shark Brasserie,Cuban,expensive,Flatbush,08:00 - 18:00,1.5,TRUE
 Moonlight White Kitchen,Korean,cheap,Howard Beach,15:00 - 23:30,1.2,TRUE
 Fiery Shark Kitchen,Mexican,medium,Greenpoint,11:30 - 21:30,3.3,FALSE
 Rustic Purple Trattoria,French,medium,Flatbush,15:00 - 23:30,3.7,TRUE
 Emerald Hawk Grill,Brazilian,medium,Brighton Beach,00:00 - 23:59,3.4,FALSE
 Ruby Lion House,Chinese,cheap,Howard Beach,08:00 - 18:00,2.7,TRUE
 Royal Blue Tavern,Chinese,expensive,Harlem,15:00 - 23:30,4.6,TRUE
 Golden Tiger Grill,Hungarian,cheap,Canarsie,15:00 - 23:30,1.4,FALSE
 Fiery Black Restaurant,South African,cheap,Mill Basin,00:00 - 23:59,4.1,TRUE
 Emerald White Steakhouse,Finnish,cheap,Bayside,15:00 - 23:30,3.3,TRUE
 Electric Green Brasserie,Peruvian,cheap,Kips Bay,15:00 - 23:30,2.8,FALSE
 Mama's Purple Pizzeria,Ethiopian,medium,Breezy Point,11:30 - 21:30,2.4,TRUE
 Chill Yellow Grill,Mexican,expensive,Belle Harbor,15:00 - 23:30,2.9,FALSE
 Classic Yellow Pizzeria,Australian,cheap,Crown Heights,08:00 - 18:00,1.1,FALSE
